Flex1,Flex2,Flex3,Flex4,Flex5,Ax,Ay,Az,Label
4095,1936,2256,1947,1295,-8.37,-1.64,6.4,S
4095,2118,2403,2085,1366,-8.34,-0.82,6.25,S
4095,2001,2381,2004,1306,-8.66,-1.21,6.51,S
4095,2165,2592,2133,1498,-8.35,-1.02,6.41,S
4095,2032,2483,2033,1453,-8.28,-1.04,6.38,S
4095,2046,2599,2123,1519,-8.17,-1.23,6.33,S
4095,2149,2755,2257,1695,-8.3,-1.23,6.4,S
4095,2096,2646,2150,1648,-8.14,-1.41,6.53,S
4095,2256,2880,2390,1802,-8.2,-1.55,6.24,S
4095,2266,2899,2373,1859,-8.04,-1.62,6.3,S
4095,2263,2915,2385,1887,-8.15,-1.59,6.48,S
4095,2269,2903,2366,1923,-8.0,-1.57,6.58,S
4095,2273,3003,2411,1954,-7.8,-1.97,6.48,S
4095,2288,2990,2390,1975,-7.93,-1.73,6.8,S
4095,2293,3035,2409,1986,-8.02,-1.86,6.77,S
4095,2302,3051,2416,2000,-7.97,-1.89,6.54,S
4095,2320,3033,2464,2029,-8.06,-1.96,6.47,S
4095,2342,3040,2454,2054,-8.02,-1.79,6.35,S
4095,2355,3065,2457,2099,-8.01,-1.77,6.59,S
4095,2225,2896,2320,1982,-8.33,-2.01,6.43,S
4095,2384,3142,2493,2125,-8.12,-1.71,6.61,S
4095,2269,2917,2351,1975,-8.06,-1.78,6.55,S
4095,2426,3155,2555,2137,-8.04,-1.83,6.42,S
4095,2426,3209,2557,2128,-7.99,-1.85,6.37,S
4095,2453,3247,2559,2139,-8.06,-1.98,6.55,S
4095,2494,3611,2780,2490,-7.89,-2.51,6.58,S
4095,4095,2731,2768,2307,10.02,2.4,2.25,T
4095,4095,2842,2797,2591,9.83,2.29,1.96,T
4095,4095,2898,2771,2637,9.84,1.89,2.0,T
4095,4095,2918,2819,2672,9.77,1.69,2.23,T
4095,4095,2645,2559,2443,9.81,1.93,2.48,T
4095,4095,3006,2884,2715,9.65,2.09,2.27,T
4095,4095,2762,2711,2549,9.56,1.85,2.15,T
4095,4095,3060,2977,2750,9.62,1.75,2.31,T
4095,4095,3085,2971,2795,9.67,1.71,2.46,T
4095,4095,3071,3011,2832,9.99,1.96,2.4,T
4095,4095,3102,3038,2843,9.69,1.84,2.64,T
4095,4095,3103,3024,2865,9.66,1.83,2.59,T
4095,4095,3132,3022,2869,9.86,1.78,2.43,T
4095,4095,3146,3007,2915,9.94,1.85,2.55,T
4095,4095,3104,3040,2930,9.62,1.62,2.68,T
